collection,collection_id,lib_dstin_cd,menu_id,seq,title,ncs_code_hint,detail_label_hint,view_text,member_count,methods,task_methods,evaluation_methods,method_count,artifact_types,pairing_scope,has_task_and_eval_material,has_task_and_eval_pairs,archive,download_path,download_suffix,container_type,warnings
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104842318,(2024고도화)통신서비스_20-02-03,20-02-03,통신서비스,(2024고도화)통신서비스_20-02-03,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104842318_(2024고도화)통신서비스_20-02-03.hwp,.tmp\ncs_official_interview_samples\20250115104842318_(2024고도화)통신서비스_20-02-03.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104827226,(2024고도화)토목설계감리_14-02-01,14-02-01,토목설계감리,(2024고도화)토목설계감리_14-02-01,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104827226_(2024고도화)토목설계감리_14-02-01.hwp,.tmp\ncs_official_interview_samples\20250115104827226_(2024고도화)토목설계감리_14-02-01.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104808914,(2024고도화)정보기술전략계획_20-01-01,20-01-01,정보기술전략계획,(2024고도화)정보기술전략계획_20-01-01,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104808914_(2024고도화)정보기술전략계획_20-01-01.hwp,.tmp\ncs_official_interview_samples\20250115104808914_(2024고도화)정보기술전략계획_20-01-01.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104750584,(2024고도화)상품중개경매_10-03-03,10-03-03,상품중개경매,(2024고도화)상품중개경매_10-03-03,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104750584_(2024고도화)상품중개경매_10-03-03.hwp,.tmp\ncs_official_interview_samples\20250115104750584_(2024고도화)상품중개경매_10-03-03.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104720705,(2024고도화)사회복지정책_07-01-01,07-01-01,사회복지정책,(2024고도화)사회복지정책_07-01-01,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104720705_(2024고도화)사회복지정책_07-01-01.hwp,.tmp\ncs_official_interview_samples\20250115104720705_(2024고도화)사회복지정책_07-01-01.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104608833,(2024고도화)사회복지서비스_07-01-02,07-01-02,사회복지서비스,(2024고도화)사회복지서비스_07-01-02,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104608833_(2024고도화)사회복지서비스_07-01-02.hwp,.tmp\ncs_official_interview_samples\20250115104608833_(2024고도화)사회복지서비스_07-01-02.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104543017,(2024고도화)건축시공_14-03-02,14-03-02,건축시공,(2024고도화)건축시공_14-03-02,5,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,경험면접; 발표면접; 상황면접; 창의적 문제해결력면접; 토론면접,5,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104543017_(2024고도화)건축시공_14-03-02.hwp,.tmp\ncs_official_interview_samples\20250115104543017_(2024고도화)건축시공_14-03-02.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104526316,(2024고도화)건설시공관리_14-01-02,14-01-02,건설시공관리,(2024고도화)건설시공관리_14-01-02,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104526316_(2024고도화)건설시공관리_14-01-02.hwp,.tmp\ncs_official_interview_samples\20250115104526316_(2024고도화)건설시공관리_14-01-02.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104339985,(2024고도화)감정평가_10-02-04,10-02-04,감정평가,(2024고도화)감정평가_10-02-04,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104339985_(2024고도화)감정평가_10-02-04.hwp,.tmp\ncs_official_interview_samples\20250115104339985_(2024고도화)감정평가_10-02-04.hwp,.hwp,document,
전형별 평가샘플,evaluation-sample,30,MN42020301,20250115104320576,(2024고도화)가전기기개발_19-03-01,19-03-01,가전기기개발,(2024고도화)가전기기개발_19-03-01,4,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,경험면접; 발표면접; 상황면접; 토론면접,4,evaluation_form; job_description; job_posting; task,document,True,True,.tmp\ncs_official_interview_samples\20250115104320576_(2024고도화)가전기기개발_19-03-01.hwp,.tmp\ncs_official_interview_samples\20250115104320576_(2024고도화)가전기기개발_19-03-01.hwp,.hwp,document,
