collection,collection_id,seq,title,member,suffix,method,method_source,method_context_source,method_context_chars,artifact_type,artifact_types,chars,has_task_prompt,has_evaluation_form,has_candidate_instruction,has_interviewer_instruction,has_time_limit,has_scoring_criteria,has_rating_scale,task_prompt_style,followup_section_labels,prep_minutes,presentation_minutes,qa_minutes,discussion_minutes,rating_scale_labels,evaluation_elements,terms
채용모델 면접문항,interview-model,20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),경험면접 과제.hwp,.hwp,경험면접,filename,full_document,12816,task,task,12816,True,False,False,False,False,False,True,experience_or_similar_training_case,질문,,,,,보통,을 분석한 경험에 대하여 말씀해 주시기 바랍니다. (관련 경력이 없을 경우 유사 경험; 관련 교육과정 중 해당 사례의 학습 경험을 질문) G. 적용 가능한 자사의 보유 기술을 파악한 경험에 대하여 말씀해 주시기 바랍니다. (관련 경; 관련 교육과정 중 해당 사례,"을 분석한 경험에 대하여 말씀해 주시기 바랍니다. (관련 경력이 없을 경우 유사 경험, 관련 교육과정 중 해당 사례의 학습 경험을 질문) G."
채용모델 면접문항,interview-model,20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),경험면접 평가양식.hwp,.hwp,경험면접,filename,full_document,7329,evaluation_form,evaluation_form,7329,False,True,False,True,False,True,True,experience_star_probe,질문,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,인증 종류; 인증기관 선정 방법론; 인증절차; 인증 소요비용 산정; 인증 시험검사 항목; 인증서류; ■ 기본정보; 능력 단위; 정보통신기기 개발 검토; 정의,을 파악할 수 있다. 평균 점수 ■ 평가 주안점 | • 정보통신기기 이론 • 설계기준 • 시장동향 분석 • 회로설계에 대한 국내외 규격 | •; 평가양식
채용모델 면접문항,interview-model,20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),발표면접 과제.hwp,.hwp,발표면접,filename,full_document,6863,task,task,6863,True,False,False,False,False,False,True,presentation_materials,,,,,,보통; 100; 80,,
채용모델 면접문항,interview-model,20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),발표면접 평가양식.hwp,.hwp,발표면접,filename,full_document,6339,evaluation_form,evaluation_form,6339,True,True,False,True,False,True,True,presentation_materials,질문,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,인증 종류; 인증기관 선정 방법론; 인증절차; 인증 소요비용 산정; 인증 시험검사 항목; 인증서류; ■ 기본정보; 능력 단위; 정보통신기기 개발 검토; 정의,을 파악할 수 있다. 평균 점수 ■ 평가 주안점 | • 정보통신기기 이론 • 설계기준 • 시장동향 분석 • 회로설계에 대한 국내외 규격 | •; 평가양식
채용모델 면접문항,interview-model,20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),상황면접 과제.hwp,.hwp,상황면접,filename,full_document,11383,task,task,11383,True,False,False,False,False,False,True,work_situation_judgment,질문,,,,,보통; 부족,을 선정할 때 특히 고려해야 할 요소를 말씀해 주시기 바랍니다. G. 정보통신기기를 개발시 적용 가능한 자사의 보유 기술을 파악할 때 가장 핵심,을 선정할 때 특히 고려해야 할 요소를 말씀해 주시기 바랍니다. G. 정보통신기기를 개발시 적용 가능한 자사의 보유 기술을 파악할 때 가장 핵심
채용모델 면접문항,interview-model,20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),상황면접 평가양식.hwp,.hwp,상황면접,filename,full_document,7294,evaluation_form,evaluation_form,7294,False,True,False,True,False,True,True,work_situation_judgment,,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,인증 종류; 인증기관 선정 방법론; 인증절차; 인증 소요비용 산정; 인증 시험검사 항목; 인증서류; ■ 기본정보; 능력 단위; 정보통신기기 개발 검토; 정의,을 파악할 수 있다. 평균 점수 ■ 평가 주안점 | • 정보통신기기 이론 • 설계기준 • 시장동향 분석 • 회로설계에 대한 국내외 규격 | •; 평가양식
채용모델 면접문항,interview-model,20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),토론면접 과제.hwp,.hwp,토론면접,filename,full_document,2622,task,task,2622,True,False,False,False,True,False,True,discussion_consensus,,,,,,우수; 보통; 미흡; 부족,,
채용모델 면접문항,interview-model,20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),토론면접 평가양식.hwp,.hwp,토론면접,filename,full_document,7327,evaluation_form,evaluation_form,7327,True,True,False,True,False,True,True,discussion_consensus,,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,인증 종류; 인증기관 선정 방법론; 인증절차; 인증 소요비용 산정; 인증 시험검사 항목; 인증서류; ■ 기본정보; 능력 단위; 정보통신기기 개발 검토; 정의,을 파악할 수 있다. 평균 점수 ■ 평가 주안점 | • 정보통신기기 이론 • 설계기준 • 시장동향 분석 • 회로설계에 대한 국내외 규격 | •; 평가양식
채용모델 면접문항,interview-model,20230426171149140,19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화),경험면접 과제.hwp,.hwp,경험면접,filename,full_document,11151,task,task,11151,True,False,False,False,False,False,False,experience_or_similar_training_case,질문,,,,,부족,의사결정,
채용모델 면접문항,interview-model,20230426171149140,19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화),경험면접 평가양식.hwp,.hwp,경험면접,filename,full_document,7625,evaluation_form,evaluation_form,7625,False,True,False,True,False,True,True,experience_star_probe,질문,,,,,탁월; 우수; 보통; 미흡; 100; 80; 70,제품규격; 주요 선행특허의 특징과 내용을 파악할 수 있는 공학적 지식; 디스플레이 공정기술에 대한 지식; 디스플레이 생산기술에 대한 지식; 디스플레이 장비; 재료에 관한 지식; 제품 규격; 패널 구조 ■; TAB 공정 원리; TAB 공정 장비,평가양식
