collection,collection_id,lib_dstin_cd,menu_id,seq,title,ncs_code_hint,detail_label_hint,view_text,member_count,methods,task_methods,evaluation_methods,method_count,artifact_types,pairing_scope,has_task_and_eval_material,has_task_and_eval_pairs,archive,download_path,download_suffix,container_type,warnings
채용모델 면접문항,interview-model,49,MN02020303,20230426171219499,19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화),19-03-03,정보통신기기개발,정보통신기기개발,4,경험면접; 발표면접,경험면접; 발표면접,경험면접; 발표면접,2,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20230426171219499_19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화).zip,.tmp\ncs_official_interview_samples\20230426171219499_19-3-3. 정보통신기기개발 면접과제 및 평가양식(22년 고도화).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20230426171149140,19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화),19-03-07,디스플레이개발,디스플레이개발,4,경험면접; 발표면접,경험면접; 발표면접,경험면접; 발표면접,2,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20230426171149140_19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화).zip,.tmp\ncs_official_interview_samples\20230426171149140_19-3-7. 디스플레이개발 면접과제 및 평가양식(22년 고도화).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20230426171115855,20-1-7. 인공지능 면접과제 및 평가양식,20-01-07,인공지능,인공지능,4,경험면접; 발표면접,경험면접; 발표면접,경험면접; 발표면접,2,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20230426171115855_20-1-7. 인공지능 면접과제 및 평가양식.zip,.tmp\ncs_official_interview_samples\20230426171115855_20-1-7. 인공지능 면접과제 및 평가양식.zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20230426171040497,19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화),19-03-06,반도체개발,반도체개발,4,경험면접; 발표면접,경험면접; 발표면접,경험면접; 발표면접,2,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20230426171040497_19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화).zip,.tmp\ncs_official_interview_samples\20230426171040497_19-3-6. 반도체개발 면접과제 및 평가양식(22년 고도화).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20230426170954307,19-3-18. 자율주행개발 면접과제 및 평가양식,19-03-18,자율주행개발,자율주행개발,4,경험면접; 발표면접,경험면접; 발표면접,경험면접; 발표면접,2,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20230426170954307_19-3-18. 자율주행개발 면접과제 및 평가양식.zip,.tmp\ncs_official_interview_samples\20230426170954307_19-3-18. 자율주행개발 면접과제 및 평가양식.zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20230426170921332,19-3-8. 로봇개발 면접과제 및 평가양식,19-03-08,로봇개발,로봇개발,4,경험면접; 발표면접,경험면접; 발표면접,경험면접; 발표면접,2,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20230426170921332_19-3-8. 로봇개발 면접과제 및 평가양식.zip,.tmp\ncs_official_interview_samples\20230426170921332_19-3-8. 로봇개발 면접과제 및 평가양식.zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20230426170843605,15-11-1. 스마트공장생산설계 면접과제 및 평가양식(22년 고도화),15-11-01,스마트공장생산설계,스마트공장설계,4,경험면접; 발표면접,경험면접; 발표면접,경험면접; 발표면접,2,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20230426170843605_15-11-1. 스마트공장생산설계 면접과제 및 평가양식(22년 고도화).zip,.tmp\ncs_official_interview_samples\20230426170843605_15-11-1. 스마트공장생산설계 면접과제 및 평가양식(22년 고도화).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20230426170800610,23-6-2. 산업안전보건관리 면접과제 및 평가양식(22년 고도화),23-06-02,산업안전보건관리,산업안전보건관리,4,경험면접; 발표면접,경험면접; 발표면접,경험면접; 발표면접,2,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20230426170800610_23-6-2. 산업안전보건관리 면접과제 및 평가양식(22년 고도화).zip,.tmp\ncs_official_interview_samples\20230426170800610_23-6-2. 산업안전보건관리 면접과제 및 평가양식(22년 고도화).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20230426170709465,2-2-2. 인사조직 면접과제 및 평가양식(22년 고도화),02-02-02,인사조직,인사조직,4,경험면접; 발표면접,경험면접; 발표면접,경험면접; 발표면접,2,evaluation_form; job_description; job_posting; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20230426170709465_2-2-2. 인사조직 면접과제 및 평가양식(22년 고도화).zip,.tmp\ncs_official_interview_samples\20230426170709465_2-2-2. 인사조직 면접과제 및 평가양식(22년 고도화).zip,.zip,zip,
채용모델 면접문항,interview-model,49,MN02020303,20230426170628517,20-1-8. 블록체인 면접과제 및 평가양식,20-01-08,블록체인,블록체인,4,경험면접; 발표면접,경험면접; 발표면접,경험면접; 발표면접,2,evaluation_form; task,archive_members,True,True,.tmp\ncs_official_interview_samples\20230426170628517_20-1-8. 블록체인 면접과제 및 평가양식.zip,.tmp\ncs_official_interview_samples\20230426170628517_20-1-8. 블록체인 면접과제 및 평가양식.zip,.zip,zip,
